review,sentiment
"I absolutely loved this movie! Amazing acting.",positive
"This movie was terrible and boring.",negative
"What a fantastic film. I really enjoyed it.",positive
"I hated this movie. It was a complete waste of time.",negative
"The story was excellent and the characters were great.",positive
"Very disappointing. I expected much more.",negative
"One of the best movies I have watched.",positive
"The acting was awful and the story made no sense.",negative
"I really enjoyed the music and cinematography.",positive
"Not worth watching. Very boring.",negative
"The movie was funny, emotional, and entertaining.",positive
"I fell asleep because the movie was so slow.",negative
"Brilliant performance by the actors.",positive
"The plot was confusing and poorly written.",negative
"I would definitely watch this movie again.",positive
"Terrible movie with terrible acting.",negative
